Unnamed: 0,reviews,clean_sentence_training,textblob_polarity,sentiment_textblob
121,"✅ Trip Verified |  Glasgow to London delayed by 1 hour. My wife and I now accept that a BA flight will be late and delayed. Very rarely on time. As long as you accept this, you won’t be disappointed planning ahead. There’s a high risk of delays. If you are connecting with another airline with OneWorld it’s extremely risky.",flight airline disappointed ahead high risky accept risk extremely Very time OneWorld another Glasgow Trip Verified late connecting London hour wife delay planning long delayed rarely There,-0.07,Partially Negative
122,"✅ Trip Verified |  When I tried to check in online, I was offered an upgrade to premium economy for just under £300. I decided to take it, but then the website wouldn't allow me to choose seats or to check in. I phoned BA and was happy that the call was picked up quickly, but I was then told that because I had changed my booking, I had to check in at the airport. So we turned up three hours before the flight, only to be told that our two adjacent aisle seats in economy had been switched to the middle seats in a row of four in premium. The check-in agent was helpful but couldn't fix and suggested we try the BA desk airside. That desk was understaffed but when we did reach the front of the line, we were told to try at the boarding gate. At the gate, we finally managed to get one aisle seat and one window, not sitting together. After going through that, the flight was surprisingly good, with decent food and very good service. We flew back economy, which wasn't too bad either. The flight attendants were friendly and enthusiastic, and Emma and Daniel, who looked after us, could not have been better. I've obviously learned my lesson about late BA upgrades, but everything else was good.",allow website desk aisle switched seat three call agent After flight going finally line back friendly front else suggested premium decided looked tried adjacent decent sitting choose take good picked check changed economy gate food Emma everything surprisingly enthusiastic boarding understaffed quickly together flew obviously could turned airport airside attendant Trip lesson Verified late Daniel told upgrade booking window hour helpful offered phoned When happy reach managed service four better middle either learned online That,0.26,Partially Positive
123,"✅ Trip Verified |  I flew from Prague to LHR. Excellent service, attentive staff, first drink service, then meal service (choice of three meals), later second drink service. In reality - excellent flight. Couple of days later I flew back from LHR to Prague. Boarding at LHR T5 was a total chaos. Onboard service cannot really be called service: No curtain between business and economy class (which later caused people endlessly passing to get to the toilet). Meal service could not get more unprofessional - 5 rows took two guys nearly 30 mins to serve. Constantly interrupted (no people passing to the toilets at this time yet). I don´t know if there was any meal choice as no one bothers talking to you. I was served that  afternoon tea consisting of three canapes-like bites and some drink. Why would we bother serving you also a scone. Hardly after 5 mins plates to be taken away - when I asked for my scone it came as a surprise I was not served any (no co-ordination between the crew).  Crew busy chatting at the galley. In reality - the service could not get any worse. One just must ask what do you pay the premium price for? ",second Couple toilet passing curtain day premium bite would total crew came reality ordination know talking serve chatting nearly later really canape Prague Hardly three worse min plate Constantly must people like afternoon away surprise Onboard choice took service guy flight drink price scone unprofessional business cannot first could row Trip also Crew interrupted bother caused serving taken back staff served time meal called economy endlessly asked class flew consisting busy Excellent galley Verified chaos Boarding Meal excellent attentive,0.14,Partially Positive
124,"✅ Trip Verified |  Disappointing again especially on business. The service is ancient, one world lounges are a catastrophe at Heathrow. Business class seat is similar to economy and electronics are very poor onboard. ",Disappointing seat catastrophe lounge economy business electronics ancient class poor Trip onboard Verified Business service especially world Heathrow similar,-0.25,Partially Negative
125,✅ Trip Verified |  During both the outbound and return flights we were not offered a decent meal. We received a tiny bag of chips and a very small bottle of water. What outraged us the most is that during the return flight we couldn't even order any food / drink because the card reader didn't function. The first and last time we'll fly with BA.,outbound flight drink last outraged time meal food bottle tiny first card function even small Trip Verified reader water offered return order During chip What decent received,-0.12,Partially Negative
126,"✅ Trip Verified |  I was flying to Warsaw for one day of meetings and would be flying back out to Miami the next day. Initially my flight was delayed in Denver by 3 hours. As such I knew I would miss my connection in Warsaw. The Denver to Heathrow flight was terrible. The plane was dirty, I was in economy, I usually fly business or Premium Economy but on this flight there was no availability. The plane was only about 2/3 full and the service was not good. My food was inedible and the seats very cramped although the middle seat was open so that made it tolerable. When i arrived in Heathrow it was a complete circus. Passengers everywhere trying to rebook missed connections. Not only my flight but multiple other flights had missed connections. After waiting in line for an hour I was finally rebooked on another BA flight to Warsaw. This plane was the smallest 3x3 plane I have seen. Packed in like sardines. My bag never showed up so i had to cancel my meeting and now have no bag to fly back to Miami. BA has shown no desire to help other than to give me standard answers and that hopefully my bag will show up in Miami at some point and I can retrieve it from there. I mean the bag is sitting in Heathrow somewhere with 6 different fight options to get it to Warsaw yet BA in unwilling to do anything to expedite getting my bag to Warsaw before I leave for Miami the next day. ",standard line give cancel different show would Denver option desire inedible miss dirty unwilling rebook When delayed answer mean sardine Warsaw somewhere After finally arrived seen waiting like anything food plane This complete flying Economy service tolerable Heathrow help fight showed everywhere flight cramped availability hopefully leave Passengers missed terrible good business made usually trying smallest Trip meeting Packed retrieve hour next shown Initially seat back rebooked full sitting knew economy open although point never another Miami getting Verified connection Premium multiple middle expedite circus,-0.06,Partially Negative
127,"✅ Trip Verified |  Booked a BA holiday to Marrakech, after posting a negative review regarding my double tier points credit, I can now confirm that the points have been credited. It took a while but BA did eventually make good on their promise, thank you. Based on things now being resolved I have travelled on BA since and I am booked to travel to South Africa in First class on 2nd January, looking forward to the new BA Concorde lounge. Keep it up BA, loyalty is indeed a 2way street.",Keep confirm make credit travel South review Based tier lounge negative good regarding class Africa point Marrakech credited eventually double looking forward Trip since Concorde Verified thank travelled booked indeed loyalty Booked took 2way promise posting resolved thing First January street holiday,0.16,Partially Positive
128,"✅ Trip Verified | Extremely sub-par service. Highlights: No online meal selection. Staff pretty much dropped off whatever meal they had and were very rude if a passenger wanted it changed. Last meal was delayed to the last 40 minutes of flight. Plates were literally grabbed away. I had to hand over my unfinished plate that the staff again dropped on me. No apology. No offer of a napkin. I had to scrounge for a piece of paper to clean my jacket. None of the passengers were told to straighten up their seats before meal. Because the seat before me was so tilted, I could barely keep the plate on the tray without things slipping off. Staff walked down with some water and biscuits. This got exhausted just before she got to me. She just looked at me and walked away. Nothing further was offered.",wanted walked seat paper flight biscuit Plates Extremely plate last scrounge jacket tray looked minute much offer staff straighten without passenger napkin clean changed meal exhausted Last away This piece Because Nothing rude could literally unfinished Trip slipping keep tilted Verified hand barely apology told pretty whatever water service dropped None selection thing offered grabbed delayed Highlights online Staff,-0.01,Neutral
129,"✅ Trip Verified |  I virtually gave up on British Airways about three years ago, writing off my Avios and opting for other airlines. But my return flights from Heathrow to Lisbon this week were very good. The aircraft were pretty much full, but the service was excellent and the food surprisingly good. A particular shout-out to a flight attendant called Jo, but all the teams there and back were enthusiastic and attentive. I'm going to have to start spending those Avios.",Lisbon three going flight airline spending week back virtually shout Avios writing British aircraft much full gave Airways good food called surprisingly enthusiastic year start attendant Trip opting Verified team pretty service Heathrow particular return excellent attentive,0.37,Partially Positive
130,"✅ Trip Verified |  I was pleasantly surprised that the airline could maintain a steady schedule with little delay considering the time of the year and the weather. The flight from Montreal was my return flight to Scotland, but I originally booked to fly to and from Toronto, but the airline helped me cancel and I rebooked for a cheaper flight. The inflight service was pretty decent andthey do offer a blanket and pillow. As well they walk through the cabin offering drinks and handing out a small snack prior to the leading meal service. While the food was typical air plane food. I thoroughly enjoyed my flight and had no issues at all with my flights.",schedule well flight airline pleasantly drink weather cancel rebooked enjoyed little andthey inflight walk offer time While Scotland Toronto meal food plane offering cabin could year pillow handing originally prior typical Montreal Trip cheaper small issue steady Verified booked surprised snack pretty leading thoroughly delay considering service maintain return blanket decent helped,0.13,Partially Positive
131,"✅ Trip Verified |  British Airways is late, their website is atrocious, and they wouldn't let me check-in until 24 hours before the flight. I have been trying for 6 hours to check in through their website, and/or find a real person to speak with. Customer service had such a thick accent I didn't think they were speaking English. ",website find flight person British Airways check speak atrocious English real trying thick Trip Verified late think speaking Customer hour service accent,-0.18,Partially Negative
132,✅ Trip Verified | Flew from Amman to London on Nov. 14 2022. Not sure what type of aircraft it was. My Ticket was economy plus. The flight is 5h35m. We received exactly 250ml of water and about 10 potato chips. The seats did not recline and there was no entertainment system. Any other food or drink had to be purchased. So we couldn't even get a warm cup of coffee or teas. It is the third time I have flown with BA recently and was unhappy each time but did not write a review. Will honestly never fly them again if I can help it.,potato Amman entertainment seat flight 5h35m warm drink review system aircraft Flew tea honestly time purchased type 2022 economy food sure Ticket never plus exactly even Trip flown unhappy coffee Verified recline London recently water 250ml Will third chip write help received,0.19,Partially Positive
133,"✅ Trip Verified | This is the worst experience I have ever had with any airline. I flew with British Airline on August 21st 2022. I had one checked bag that was lost at Heathrow Airport. I am aware that at that time there was a system error with the baggage belt and many travelers were affected. I filed a report for my missing bag on the same day I arrived at LAX airport, and that was on August 21st. I waited patiently for three weeks (which is the time frame to either find the bag or be eligible for a compensation). When I did not receive any update on my lost bag, I filed a claim for compensation, and that was on September 11th. Since then, I have been waiting for a response from the customer relation with no good signs of resolving the issue. I emailed them and tried to update the claim but still no response until today. I contacted the baggage team and they were not helpful and did not ease my prolonged waiting. The only way to contact customer relations is via the website and they're not even getting back to me. Every time I talk to a customer service agent, they tell me to wait some more. I have been waiting for almost three months now and my issue is not resolved yet. This whole experience was a hassle. Very unprofessional for a renowned airline like BA.",today report customer system checked 21st baggage ease tried wait many claim receive issue traveler contact emailed hassle compensation frame When website talk three arrived affected still waiting like relation This Airport ever Airline contacted Every service helpful Heathrow resolving response find patiently airline British experience unprofessional good August Since 2022 even airport Trip month team 11th tell lost sign aware belt either agent week back almost Very filed whole time eligible September worst flew error prolonged waited getting Verified missing update resolved renowned,0.06,Partially Positive
134,"✅ Trip Verified |  Flying LHR T5 to CPT November 2022:  BA app and website not working properly - would not load my ticket. LHR T5 smooth and calm. Checking process quick. - But boarding card would not scan at security, they gave me one for someone else to a different destination.  Ran back to checkin to get correct one. Bags also tagged incorrectly and had disappeared.  Someone ran off to find my bags in the depths of T5 and retag them (amazingly they did show up in Cape Town).  Told only main lounge was open not B and C pier lounges. Turns out this was false information ... B Pier lounge was open. But I was in main lounge which was overcrowded and worn out. -Arrived late to the gate (train not working). There was a Biz class lane (quick) but then a giant queue to get on the plane as they only had one airbridge, not two. Seat comfy and cabin clean but the sinks were taped up as the waste was not working. I was offered hand sanitiser instead but this is disgusting (imagine going to the bathroom and not being able to wash your hands as there is no sink). Unbelievable that BA dispatches planes in this condition. Food average. Wine served way too late (choice of wine with cold food, or eat food first and matching wines come a quarter of an hour later). Overall experience 2/10. Flew Air France (Fortalaza to CDG to LHR) two weeks earlier which was way better. How embarrassing for BA.",ticket security depth France Someone imagine able different destination Overall correct show would calm taped cabin condition embarrassing Wine checkin disappeared later working lane There pier website Cape wine else November waste process tagged Flying food load sink plane Unbelievable boarding instead amazingly choice Bags queue matching quarter find incorrectly someone experience overcrowded lounge quick clean come 2022 first card Told scan false Food Trip also smooth hour offered giant dispatch properly Pier Arrived comfy going sanitiser airbridge information back week retag Flew Town cold gave earlier served gate bag open worn class Seat main bathroom Verified late hand average Fortalaza Checking wash better disgusting Turns train,0.02,Neutral
135,"Not Verified | Worst experience ever. Outbound flight was cancelled and I was not notified. I was rebooked on a very uncomfortable trip. Inbound flight delayed 1 hour, also not notified. On top of it, they boarded my hand luggage, which was the only bag I had. Extra wait in Milan then. Food is horrible.",Milan flight rebooked boarded experience wait Worst notified Extra horrible luggage ever trip Food also cancelled hand Verified Outbound hour Inbound uncomfortable delayed,-0.62,Negative
136,"✅ Trip Verified |  Check in was a shambles at BWI, just 3 counters open for a very full flight. The bag drop queue was even longer than the regular check-in queue! Boarding was done by zones so that was carried out reasonably well. Once on board, the FAs were fine, not as engaging on my outbound flight to IAD. The aircraft was cramped and the seats in economy were horrible. I was seated in an aisle seat (row F) where there is an entertainment box taking up a third of your legroom. Overall, very cramped seat, poor legroom and awful IFE screens. The meal was mediocre and there was no bar service before the meal this time. On lading, we were served a hot sandwich which had oozing cheese all over the wrapper so it was not pleasant to handle but tasted very good! The plane landed at a remote stand which meant that we had to be bussed to T5 and since it was raining, it was not a nice experience. Overall, I rate this just as a mediocre journey.",well entertainment legroom outbound aisle seat tasted flight shamble cramped journey engaging awful mediocre queue board Overall aircraft raining experience full fine done served time good check economy meal rate zone lading plane meant open oozing screen poor horrible Check bussed even nice handle seated Trip drop since Verified taking cheese pleasant regular carried remote stand service wrapper Boarding counter reasonably Once third longer landed sandwich,0.02,Neutral
137,✅ Trip Verified | Beyond disgusted with the fact that my baggage has yet to be delivered to me after 5 weeks of emails and calls to BA. Two pieces reported 29th September. BA responses are generic non specific and all attempts to speak to a customer service worker are obstructed. All this from an airline touting its values and claiming yo be one of the best in the world. Disgraceful does not fully describe their customer service.,call best airline attempt week customer fully baggage worker fact email Beyond 29th September speak claiming delivered piece disgusted touting specific generic Trip Disgraceful Verified reported obstructed service world value response describe,0.0,Neutral
138,"✅ Trip Verified | On July 19th 2022 I had submitted a complaint form with regards to the fact that BA had misplaced our luggage during our wedding trip to Italy and we've lost 2 days and incurred additional expenses in retrieving them, for which I had provided all copy of receipts for. I requested for my expenses to be reimbursed, they agreed, I sent all requested information and was told in 2 weeks I will be receiving it. It's 4 months later and British Airways has not processed my reimbursements and stopped answering my follow-ups on the matter.",copy answering 19th complaint information July week day British fact Airways misplaced form expense additional processed 2022 stopped receipt matter Italy sent retrieving receiving luggage trip Trip Verified month incurred wedding agreed regard told submitted lost later provided follow reimbursed reimbursement requested,-0.12,Partially Negative
139,"✅ Trip Verified |  I booked the flight on Oct 8, but have to cancel the flight on the same day after learning that I can't get my entry visa in time for the flight. And I did receive a confirmation email says my flight was canceled. But in the cancellation email, the booking reference number is a different one. So I requested cancellation, but BA canceled another person's flight and sent the confirmation to my email? I assumed that my flight was canceled, but after more than 3 weeks, I still have not received any refund, so I reached out, and it turned out my flight is still on?! And it is getting even more ridiculous when you try to reach out to BA. I tried multiple different ways, phone calls, and emails, but none was able to investigate what actually happened nor has the authority help cancel my flight without paying penalty. Based on my experience, no ones reads your email carefully, no matter how much context you put in. Given all I have experienced, I have zero faith in British Airways.",penalty reached number reference paying visa context call faith flight confirmation none canceled week person cancellation cancel able investigate one different Based experience British assumed tried entry still much learning without time email help experienced Airways actually zero matter sent say another turned even receive getting ridiculous Trip carefully authority Verified booking booked multiple Given reach phone requested way refund read received happened,0.12,Partially Positive
140,✅ Trip Verified |  London to Gibraltar on 25th October 2022. I booked my flight several months ahead of travel and was rather disappointed by the experience.  BA attempt to nickle and dime the customers with outrageous seat selection prices. Offering of a very small bottle of water and a nutribar as a breakfast and one gains the impression of where BA aim to be positioned at of late. The A320 has was no inflight entertainment or a route map. The staff disappeared for most of the flight. The flight was punctual but I felt cheated and under whelmed by the experience. ,gain several entertainment seat flight travel 25th ahead disappointed attempt customer dime price experience nutribar inflight breakfast staff rather 2022 October felt impression whelmed small Trip month Verified late booked disappeared cheated London A320 water Offering route punctual selection positioned outrageous nickle bottle Gibraltar,-0.46,Partially Negative
141,"Not Verified |  I’ve generally been a loyal Gold status flyer with BA if they fly the route I’m after but my recent flight to Nairobi was about as abysmal as you can get. We should have departed at 10:20 but after continuous delays finally left 4.5 hours late, not ideal when you’ve then got an 8hr + flight. Staff informed us virtually as we took off that the meal and drinks service would be started and completed asap as they needed to get rest because of hours we had been delayed. They couldn’t get it out and away quickly enough. That was then basically the last you saw of them until they came around an hour or so before landing. I sincerely hope they enjoyed their rest because when you pay full fare for business class service you actually expect a service. They were all extremely miserable and clearly didn’t want to be on board. We’re still waiting for you to pay our compensation that has been awarded to us by the official ombudsman in July for the cancellation of our flight to Miami in March. This was cancelled at 3am for the 2:30 pm flight !",Gold recent flight basically finally July drink Nairobi last loyal virtually cancellation rest extremely clearly enjoyed board generally flyer full would still waiting ombudsman actually meal came left business needed asap away class quickly This They sincerely awarded started fare hope March Miami status departed completed want ideal cancelled Verified late continuous hour took expect delay service route compensation miserable official landing delayed enough abysmal around informed That Staff,0.11,Partially Positive
142,"✅ Trip Verified |  A great flight. The suites on this aircraft really provide maximum comfort. British has returned to full service so meals were coursed, menus and hot towels provided…etc Food was quite good with choices provided for both meals. Service was ok, I prefer to have the same person serving me rather than a hodge pudge but that’s my preference. Entertainment was good as was connectivity. No real complaints except a minor one. The tray table seemed far from me while eating in its closest position. I actually felt like I was in a true business class, not by Qatar’s standards, but that’s another story.",serving pudge suite standard prefer eating flight menu hodge towel complaint seemed maximum person comfort position British aircraft tray full Entertainment rather connectivity good like closest Qatar actually Service meal true business minor table class real felt provide another story Food Trip except Verified choice quite preference provided service really returned great coursed,0.2,Partially Positive
143,"✅ Trip Verified |  I am happy to say that this flight was quite good. Except for the second rate Euro business seating, everything was very well done. A friendly, informative cabin crew served a good hot breakfast while being very communicative to folks nervous about Heathrow transit. Well done. Unfortunately, a bus gate was used upon arrival.",well second flight Well friendly breakfast communicative nervous done served good arrival crew everything business rate gate used transit Unfortunately folk cabin informative Trip Verified upon Euro seating quite happy Heathrow Except,0.28,Partially Positive
144,"✅ Trip Verified |  Just a few years ago flying on BA was enjoyable, but times have changed. These days about five hours on board the plane is no fun at all. The Terminal 5 experience still feels classy, and on the way out it felt well staffed and efficient. On board though, it’s just become an experience to be endured. BA’s mean decision to split seats into nicer for the first half of the plane, and nastier for the rest underlines this. There is no entertainment, no magazine. Refreshment purchases are brought to the seat after ordering from an app. There is no attempt to provide fresh or hot food on the day, despite the competition being able to do this. Is it too much to ask for, when trapped on board for five hours? You get a free tiny bottle of water and a small cereal bar. On the outbound flight the crew collected rubbish just once before landing, but helpfully tied a bag around a toilet door down the back in case anyone wanted to fight their way past and clear things up themselves. Recline buttons have been deleted on the seats and the seat pitch feels squeezed. On the return flight, for one reason or another due to BA’s delays from the previous day, we were just under two hours late getting off the plane late in the evening and some passengers couldn’t travel at all because there were not enough crew. The cabin crew were nonetheless distinctly more professional on this flight. Altogether, I would say good things if there were any - but it’s hard to think of anything I could recommend BA for; and that is a pity, because it used to be a professional company to deal with and a pleasure worth looking forward to when making European journeys.",feel well toilet clear professional attempt reason able nastier day door would passenger purchase crew pity worth cabin nonetheless tiny provide classy year small recommend Just think Refreshment tied collected underline staffed thing mean endured There brought entertainment though making half travel trapped still evening magazine cereal anything food enjoyable plane distinctly felt flying button pleasure delay five return around deal despite fight helpfully outbound flight journey These rubbish rest board experience fresh much Terminal good case first could Trip Recline decision hour split water competition landing enough past wanted seat back nicer deleted Altogether time hard changed used efficient previous European another company getting looking forward pitch Verified late free ordering become squeezed bottle anyone,0.06,Partially Positive
145,"✅ Trip Verified |  A very positive experience with BA. Seats were new style club seats and very comfortable for sleep. Food was fine but not outstanding. Wi-Fi good, and video screen large and bright. Baggage came out very quickly at Heathrow, had the same experience on the return flight to Atlanta. All in all, would fly BA again, but would probably want to make sure it is new seats.",video seat sleep Seats make flight large club comfortable outstanding probably experience fine Atlanta would good came sure screen quickly Food style Trip want Verified positive Baggage Heathrow return bright,0.44,Partially Positive
146,"✅ Trip Verified | Baby across the aisle cried nonstop and crew yakked in the galley so on this long flight there was no possibility for any sleep or even rest. Mentioning to a crew member that their colleagues were talking loudly made no difference at all. My second meal was something inedible, no way to get a simple bag of crisps or nuts, instead an assortment of dried something. Baggage took 3/4 hour to be delivered and had no priority for Club or even First passengers; we were all kept waiting after many economy bags had been delivered. A380 is a great aircraft but the BA seating is still the very tired old yin/yang configuration with some people stuck in the middle of 3 seats (probably not what anyone is expecting in business class these days)",second tired aisle difference seat sleep flight expecting probably rest yang day aircraft across still yakked waiting people nut passenger nonstop crew meal economy loudly Baby business inedible bag delivered configuration class instead made many A380 talking cried even crisp something Trip possibility galley assortment Verified Club seating Baggage kept took hour stuck member priority simple long First Mentioning middle great dried colleague anyone,0.11,Partially Positive
147,"✅ Trip Verified |  Evening flight from LHR to IAD on an A380. Check in at T5 is poor, most of their kiosks don't work well and staff have to be called. Boarding was very poorly managed. The ground staff were overwhelmed because it was a full flight and were struggling to manage passengers. The gate was small and there was insufficient seating for such a big aircraft. The flight was full and it left 50 minutes late but the pilot kept us informed on this issue. Once airborne, service started quite quickly and the cabin crew were very pleasant and helpful. They did their job very professionally and efficiently. They answered the call bells promptly and nothing was too much trouble. They started out with a bar service and were generous with drinks and then came the meal service and the food was very good. The IFE was old and clunky but had sufficient movies and TV programmes for a 7.5 hour flight. The seat was comfortable but legroom was tight. All in, it was an uneventful journey and I would give it the thumbs up but ground services needs attention.",well work legroom seat call sufficient poorly flight tight journey overwhelmed drink struggling comfortable give airborne attention aircraft minute much full staff would need good passenger clunky crew gate called left answered bell came meal food cabin quickly programme trouble pilot They nothing A380 poor Check started kiosk manage Trip small issue movie Verified late professionally pleasant seating quite kept hour service helpful managed Boarding insufficient Evening ground Once uneventful efficiently generous informed thumb promptly,0.07,Partially Positive
148,"✅ Trip Verified |  We boarded our flight at Edinburgh to London for our connecting flight to San Francisco on 4th October, there were a lot of Americas heading back to America from Scotland because of the Open Golf at St Andrews. The woman at the counter was rude, I was actually embarrassed to be British at the time. Shouting, snapping at people and just had a real horrible way about her. On the flight from London to San Francisco, prior to the 24 hour check in, I spent £150+ to reserve two seats for our once in a life time holiday to America. Once we boarded, it was evident that the seat I was sitting in was broken. The recliner button was not working and had been pushed into the frame of the arm rest. I asked the flight attendant at the time of there was anything that could be done, but not only was she also rude, but seemed uninterested in that fact that I was going to have to sit for 11 hours on a flight with a seat that wouldn't recline. I eventually got the flight to state that she would report the fault, only to find out that multiple other seats on the economy seating area were also broken. Attitude with British Airways staff has been absolutely horrendous. So, after getting off the flight, I decided to make a complaint to British Airways. Bearing in mind that I had paid £150+ for the privilege of picking a seat. I asked for a refund for the cost of the booking of the seat prior to the 24 hour check in, only to be told no, they don't do refunds. I paid for a product that was broken, met with nothing but rude staff, and they are telling me they can't refund the cost of booking the seat? 4 emails to the customer team and they are still refusing, they are also refusing to tell me whether or not that the fault was reported prior to me sitting in that seat. All they have now offered me is a £50 BA voucher, which I declined on the basis that if they picked my seats (for example I hadn't payed for the seats prior to the 24 hour check in) then a £50 voucher would be ok, but not when I have spent my own money to select a seat that was broken. After all my experiences with BA, I will not be using them again. Very rude and unhelpful staff and I will chose another carrier in the future, im actually ashamed that BA treats people the way they do when they are a national airline for Great Britain.",report unhelpful customer picking would Airways Scotland ashamed using select future carrier recline area reported seating Golf frame working Once snapping fault embarrassed Open heading chose After declined telling boarded spent broken fact still people life done pushed anything Bearing Shouting mind October rude treat prior button woman booking money recliner find product evident flight airline example rest British decided experience email check Edinburgh Great could Francisco voucher Trip also reserve absolutely Andrews team told tell hour offered national refund Attitude seat going make complaint seemed back horrendous whether America Very sitting staff privilege time picked actually economy asked basis real uninterested nothing horrible eventually refusing another getting attendant Verified connecting London cost multiple state payed counter Americas Britain holiday paid,-0.01,Neutral
149,"✅ Trip Verified |  While entering the aircraft it was very rushed no smooth boarding people were struggling with cabin luggage and finding their seats and heating was high that I was suffocating. I got faint due to that heat, but the cabin crew were very helping so all the thanks to those who helped me at that time. Other then that when I called cabin crew to ask for some water they took half an hour to response. ",seat half heating high struggling aircraft people time heat While Other crew called faint boarding cabin helping suffocating luggage Trip smooth Verified rushed took hour water entering thanks response finding helped,-0.08,Partially Negative
150,"Not Verified |  LHR-LAX. I prefer the Boeing 777 over the A380 as the seats don't seem too cramped. Check-in was very easy with the kiosks as was bag drop and security at Heathrow. T5 is a whole other story. Once through security its up the escalator, up the stairs, up the elevator, down the escalator get to the gate, no seating, then down an escalator and finally down the jet bridge to the plane. I have been in and out of Heathrow many times but never in T5 before. Anyway cabin crew were pleasant; drinks and meal service were fine. It was a day flight so no real sleeping and passengers were all moving around most of the flight. The entertainment system was good with decent options, so I occupied my time with several movies. Nice landing at LAX. All in all BA was just fine.",Boeing entertainment security several prefer seat Anyway sleeping flight cramped Nice finally bridge drink system elevator fine whole time good option passenger crew gate meal plane cabin real many moving never A380 Check kiosk story drop movie seem Verified pleasant occupied seating escalator service Heathrow landing easy Once stair around decent,0.4,Partially Positive
151,"✅ Trip Verified |  Flew back to UK from Miami in new Club World Suite - a huge improvement on the elderly Yin and Yang style Club World. Boarding easy. Took off 1/2 hour late due to delayed incoming aircraft but made up this time on way back and landed on time. Very comfortable suite with plenty of storage for bits and pieces. Bedding and large pillow supplied. Attentive FA's - especially Anna who addressed me by name). However, let down by very average catering (not very good short rib beef and underwhelming salmon for my wife). And, sadly, once again a very poor choice of films on the IFE which let down the excellent 17inch touch screen. Refused to pay BA's extortionate pre-pay to book your seat fees, and still got 2 seats together. C'mon BA - do we not pay enough already to travel Club Class ? I can recommend BA's new Club Class and we will travel this way - if we can afford it - in future.",catering suite supplied seat elderly incoming Refused large travel back bit comfortable addressed film fee Flew aircraft Took Very salmon still time good beef World short Suite storage touch screen name made piece together huge poor plenty pillow Attentive extortionate However Miami style Trip recommend Bedding already Verified late average underwhelming book Club choice future improvement hour wife sadly Yang especially Boarding Class easy 17inch delayed enough Anna excellent landed afford,0.14,Partially Positive
152,✅ Trip Verified |  I flew with hand baggage but security at Dubai was quick. Entered lounge which was a bit small but good and drink offerings sound. Flight on A380 left on time. Few technical issues with IFE which would have been really irritating had it been a day flight. Decent snack and slept well. Arrivals lounge excellent. Would recommend.,well security flight drink Arrivals baggage lounge quick Flight would slept good time technical Dubai Entered left Would offering flew A380 sound small Trip recommend issue hand Verified snack Decent really excellent irritating,0.22,Partially Positive
153,"Not Verified | London to Cairo. First, on this 5 hour mid morning flight the only complimentary food and drink were a tiny bag of pretzels and a small bottle of water. Even Southwest is more generous. When unable to connect my phone to order food, I hit the FA call button with no response for more than an hour. When the FA came to collect garbage I had to show him the call light and he gruffly asked me what was the matter. He used his phone to place the order.",call Even flight drink pretzel show Cairo place light used food came gruffly asked matter tiny morning small button Verified collect Southwest connect London hour unable water phone When First complimentary order response bottle generous garbage,0.03,Neutral
154,"✅ Trip Verified |  This review is specifically about Maddie, crew member who took care of us. She was attentive, warm, friendly and nothing was too much trouble. Smiling from start to finish. She should be the brand ambassador for BA.",Maddie warm review friendly brand much finish crew specifically This care trouble nothing Smiling start Trip Verified ambassador took member attentive,0.28,Partially Positive
155,"✅ Trip Verified |  5 hours in a cramped single aisle aircraft, no inflight entertainment. In economy there is no free catering other than a bottle of water a packet of crisps and a minimal selection of food items for purchase.",catering entertainment aisle single cramped item aircraft inflight purchase economy food crisp Trip Verified minimal hour free water packet selection bottle,0.12,Partially Positive
156,"Not Verified |  DFW-LHR. Had an easy transfer at DFW from American Airlines to British Airways heading to London. First ride on an A380 left me with the feeling that this plane type won't ever be my first choice. Was seated upstairs where the cabin space seemed very roomy, but the seats and rows were very cramped. When the passenger in front reclined the back of the seat was 7 inches from my face and I had a real difficult time trying to view the seat back entertainment screen. The seat itself wasn't too bad but I felt squished and locked in. On a plus side, having a window seat gave me this nice storage area by my side. Ground staff were pleasant and cabin crew were really nice. Plenty of beverages offered and multiple water runs were made during the night. Dinner was rubbish as was the morning pre-landing snack. The entertainment system was very responsive and had a pretty good selection of movies, tv, music and games. All in all it was an OK experience and did get me to London on time and our baggage arrived safely, but I'm not sold on the A380. T5 at LHR is another story that will be in a different review. What a mess that place is.",inch review system baggage different Airways side passenger responsive crew type cabin plus story space area pleasant transfer window When First really mess entertainment heading reclined arrived difficult night face run plane felt A380 ever choice snack pretty selection beverage What cramped music front rubbish British feeling experience good roomy storage screen made first row game trying nice morning Plenty Dinner water offered landing view seat seemed ride back American upstairs gave staff time place locked Ground left real another Airlines seated movie Verified London multiple safely squished easy sold,0.16,Partially Positive
157,✅ Trip Verified |  Check in at Jersey straightforward. There is a small business class lounge at Jersey with reasonable drinks range and some limited food. Flight boarded on time but take off was delayed due to poor visibility at LHR. Captain kept us well informed and we eventually took off 50 mins behind schedule with a 20 minute late arrival at Heathrow. Good service from the cabin crew and a bacon roll and coffee served. Disappointing that the wait for cases at Heathrow T5 was as long as the flight!,well schedule Disappointing flight min drink range boarded reasonable lounge minute Flight limited arrival time take Good served crew business straightforward food wait informed case behind class cabin Jersey visibility roll poor eventually Check bacon small Trip coffee Verified Captain late kept took service Heathrow long delayed There,-0.08,Partially Negative
